# Run=pixel_011 DC hysteresis follow-up
# theta_i_HWP_deg=7.895
# V_AC_Vpp=9.0
# ANL_peak_deg=213.162
# Q_null_deg=50.360
# A_null_deg=168.162
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_SPACING=5 V uniform
# DC_HYST_UNIFORM_STEP=5.0
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# AC_dither_Vpp=9.0
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp
0,43.566,sat,50.0000,1.945958e-04,7.851496e-05,-139.3249,5.000000e-05,3.238715e-07,0.0625,4,1,-5.954711e-05,-5.117365e-05,1.558990e-04,50.0000,0,9.0000
1,86.035,down,45.0000,1.948474e-04,7.679866e-05,-138.9172,5.000000e-05,3.456063e-07,0.1022,4,1,-5.788782e-05,-5.046814e-05,1.331370e-04,45.0000,0,9.0000
2,128.504,down,40.0000,1.947094e-04,7.496371e-05,-138.2624,5.000000e-05,1.258921e-07,0.0690,4,1,-5.593805e-05,-4.990484e-05,1.262480e-04,40.0000,0,9.0000
3,170.977,down,35.0000,1.942684e-04,7.270500e-05,-137.6350,5.000000e-05,7.989443e-08,0.0173,4,1,-5.371934e-05,-4.899234e-05,9.492960e-05,35.0000,0,9.0000
4,213.461,down,30.0000,1.931065e-04,6.940496e-05,-136.9802,5.000000e-05,2.304494e-07,0.0736,4,1,-5.074319e-05,-4.735163e-05,6.701510e-05,30.0000,0,9.0000
5,255.944,down,25.0000,1.940559e-04,6.531623e-05,-136.2323,5.000000e-05,3.285590e-07,0.0532,4,1,-4.716815e-05,-4.518158e-05,7.409940e-05,25.0000,0,9.0000
6,298.410,down,20.0000,1.944456e-04,5.966871e-05,-135.5825,5.000000e-05,9.571290e-08,0.0727,4,1,-4.261890e-05,-4.176104e-05,7.103480e-05,20.0000,0,9.0000
7,340.890,down,15.0000,1.947601e-04,5.215235e-05,-134.7730,5.000000e-05,2.417648e-07,0.1592,4,1,-3.673086e-05,-3.702312e-05,6.266490e-05,15.0000,0,9.0000
8,383.373,down,10.0000,1.948384e-04,4.236248e-05,-134.3248,5.000000e-05,2.070753e-07,0.0639,4,1,-2.959974e-05,-3.030570e-05,8.503790e-06,10.0000,0,9.0000
9,425.854,down,5.0000,1.948487e-04,2.783473e-05,-134.8256,5.000000e-05,2.601206e-07,0.2893,4,1,-1.962214e-05,-1.974194e-05,-1.989370e-05,5.0000,0,9.0000
