# Run=pixel_001 DC hysteresis follow-up
# theta_i_HWP_deg=7.895
# V_AC_Vpp=9.0
# ANL_peak_deg=213.684
# Q_null_deg=50.485
# A_null_deg=168.684
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_SPACING=5 V uniform
# DC_HYST_UNIFORM_STEP=5.0
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# AC_dither_Vpp=9.0
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp
0,43.589,sat,50.0000,2.238114e-04,1.106762e-04,-139.0175,5.000000e-05,2.939777e-07,0.0263,4,1,-8.355058e-05,-7.258465e-05,1.044360e-04,50.0000,0,9.0000
1,86.068,down,45.0000,2.265814e-04,1.106325e-04,-138.5250,5.000000e-05,3.256560e-07,0.0546,4,1,-8.289085e-05,-7.327106e-05,1.050750e-04,45.0000,0,9.0000
2,128.546,down,40.0000,2.241343e-04,1.092237e-04,-138.0350,5.000000e-05,1.412157e-07,0.0288,4,1,-8.121366e-05,-7.303538e-05,1.035510e-04,40.0000,0,9.0000
3,171.015,down,35.0000,2.261712e-04,1.072575e-04,-137.5325,5.000000e-05,2.630551e-07,0.0493,4,1,-7.911965e-05,-7.241716e-05,8.990150e-05,35.0000,0,9.0000
4,213.494,down,30.0000,2.272952e-04,1.041312e-04,-136.9300,5.000000e-05,3.155517e-07,0.0231,4,1,-7.606997e-05,-7.111031e-05,6.640630e-05,30.0000,0,9.0000
5,255.968,down,25.0000,2.276964e-04,9.894498e-05,-136.2825,5.000000e-05,2.105561e-07,0.0435,4,1,-7.151305e-05,-6.838123e-05,8.036190e-05,25.0000,0,9.0000
6,298.463,down,20.0000,2.253610e-04,9.227499e-05,-135.4625,5.000000e-05,2.365368e-07,0.0340,4,1,-6.577288e-05,-6.471940e-05,8.171490e-05,20.0000,0,9.0000
7,340.945,down,15.0000,2.260101e-04,8.203622e-05,-134.6199,5.000000e-05,4.334859e-07,0.0549,4,1,-5.762223e-05,-5.839195e-05,4.516750e-05,15.0000,0,9.0000
8,383.417,down,10.0000,2.251697e-04,6.804746e-05,-133.7475,5.000000e-05,3.343322e-07,0.0721,4,1,-4.705355e-05,-4.915710e-05,5.619430e-05,10.0000,0,9.0000
9,425.885,down,5.0000,2.265210e-04,4.737733e-05,-133.6042,5.000000e-05,2.975290e-07,0.1757,4,1,-3.267487e-05,-3.430692e-05,-2.194580e-05,5.0000,0,9.0000
10,468.375,down,0.0000,2.241150e-04,2.517365e-05,-135.4208,5.000000e-05,2.298148e-07,0.1844,4,1,-1.793070e-05,-1.766926e-05,1.601300e-06,0.0000,0,9.0000
11,510.859,down,-5.0000,2.237003e-04,1.130624e-05,-136.7339,5.000000e-05,3.796517e-07,0.0981,4,1,-8.232956e-06,-7.749158e-06,-1.086840e-04,-5.0000,0,9.0000
12,553.309,down,-10.0000,2.239212e-04,7.517100e-06,52.2965,5.000000e-05,1.781026e-07,0.6834,4,1,4.597275e-06,5.947424e-06,-4.634240e-05,-10.0000,0,9.0000
13,595.766,down,-15.0000,2.239931e-04,2.613466e-05,46.8836,5.000000e-05,2.253374e-07,0.3369,4,1,1.786261e-05,1.907742e-05,-3.954980e-06,-15.0000,0,9.0000
14,638.239,down,-20.0000,2.239545e-04,4.398366e-05,45.5451,5.000000e-05,2.774075e-07,0.1332,4,1,3.080386e-05,3.139562e-05,-8.325840e-05,-20.0000,0,9.0000
15,680.739,down,-25.0000,2.235707e-04,5.853868e-05,44.9374,5.000000e-05,1.302526e-07,0.0989,4,1,4.143833e-05,4.134782e-05,-1.222380e-04,-25.0000,0,9.0000
16,723.201,down,-30.0000,2.239013e-04,7.155991e-05,44.5820,5.000000e-05,4.370630e-07,0.1078,4,1,5.096828e-05,5.023001e-05,-1.798670e-04,-30.0000,0,9.0000
17,765.707,down,-35.0000,2.236721e-04,8.169874e-05,44.2375,5.000000e-05,1.576595e-07,0.0275,4,1,5.853344e-05,5.699580e-05,-2.235870e-04,-35.0000,0,9.0000
18,808.176,down,-40.0000,2.239757e-04,8.886493e-05,43.7775,5.000000e-05,2.500587e-07,0.0823,4,1,6.416328e-05,6.148211e-05,-2.809930e-04,-40.0000,0,9.0000
19,850.655,down,-45.0000,2.241433e-04,9.482999e-05,43.2600,5.000000e-05,3.391222e-08,0.0294,4,1,6.906008e-05,6.498794e-05,-3.415760e-04,-45.0000,0,9.0000
20,893.130,down,-50.0000,2.239995e-04,9.875244e-05,42.8326,5.000000e-05,2.982263e-07,0.0757,4,1,7.241939e-05,6.713774e-05,-3.641870e-04,-50.0000,0,9.0000
21,935.608,up,-45.0000,2.240887e-04,9.715498e-05,43.1326,5.000000e-05,2.928111e-07,0.0458,4,1,7.090116e-05,6.642376e-05,-3.366880e-04,-45.0000,0,9.0000
22,978.076,up,-40.0000,2.247319e-04,9.569107e-05,43.4777,5.000000e-05,2.251217e-07,0.1269,4,1,6.943751e-05,6.584234e-05,-2.686110e-04,-40.0000,0,9.0000
23,1020.574,up,-35.0000,2.261211e-04,9.341624e-05,43.9575,5.000000e-05,2.433189e-07,0.0341,4,1,6.724610e-05,6.484255e-05,-2.510240e-04,-35.0000,0,9.0000
24,1063.038,up,-30.0000,2.243076e-04,8.947998e-05,44.3425,5.000000e-05,1.142495e-07,0.0457,4,1,6.399378e-05,6.254169e-05,-2.212570e-04,-30.0000,0,9.0000
25,1105.513,up,-25.0000,2.263201e-04,8.491870e-05,44.7276,5.000000e-05,2.748126e-07,0.0741,4,1,6.033137e-05,5.976045e-05,-1.512260e-04,-25.0000,0,9.0000
26,1147.994,up,-20.0000,2.248122e-04,7.787366e-05,45.1025,5.000000e-05,5.855610e-08,0.1001,4,1,5.496641e-05,5.516340e-05,-1.088710e-04,-20.0000,0,9.0000
27,1190.517,up,-15.0000,2.244283e-04,6.747119e-05,45.7323,5.000000e-05,2.465150e-07,0.0918,4,1,4.709571e-05,4.831516e-05,-6.132210e-05,-15.0000,0,9.0000
28,1232.984,up,-10.0000,2.248860e-04,5.573122e-05,46.5900,5.000000e-05,3.840021e-07,0.0681,4,1,3.829927e-05,4.048623e-05,-1.480600e-05,-10.0000,0,9.0000
29,1275.450,up,-5.0000,2.238467e-04,3.953468e-05,47.0452,5.000000e-05,2.528990e-07,0.2677,4,1,2.693977e-05,2.893509e-05,-6.649050e-05,-5.0000,0,9.0000
30,1317.920,up,0.0000,2.236811e-04,2.477736e-05,48.0728,5.000000e-05,1.206731e-07,0.2214,4,1,1.655588e-05,1.843422e-05,4.567970e-06,0.0000,0,9.0000
31,1360.406,up,5.0000,2.237966e-04,5.894524e-06,48.4225,5.000000e-05,2.580484e-07,0.8479,4,1,3.911795e-06,4.409453e-06,-1.503790e-04,5.0000,0,9.0000
32,1402.891,up,10.0000,2.237324e-04,1.739731e-05,-133.9275,5.000000e-05,2.409296e-07,0.3097,4,1,-1.206934e-05,-1.252986e-05,2.750310e-05,10.0000,0,9.0000
33,1445.351,up,15.0000,2.232510e-04,3.896237e-05,-135.0572,5.000000e-05,2.693288e-07,0.1732,4,1,-2.757807e-05,-2.752301e-05,5.991550e-05,15.0000,0,9.0000
34,1487.845,up,20.0000,2.234898e-04,5.722998e-05,-135.6399,5.000000e-05,1.904781e-07,0.0497,4,1,-4.091714e-05,-4.001323e-05,6.027470e-05,20.0000,0,9.0000
35,1530.305,up,25.0000,2.233460e-04,7.123992e-05,-136.0899,5.000000e-05,3.729649e-07,0.0985,4,1,-5.132332e-05,-4.940692e-05,7.546510e-05,25.0000,0,9.0000
36,1572.795,up,30.0000,2.240906e-04,8.316123e-05,-136.8000,5.000000e-05,2.320026e-07,0.0424,4,1,-6.062197e-05,-5.692774e-05,7.939870e-05,30.0000,0,9.0000
37,1615.271,up,35.0000,2.237067e-04,9.127869e-05,-137.3674,5.000000e-05,5.415253e-07,0.0742,4,1,-6.715485e-05,-6.182254e-05,9.086710e-05,35.0000,0,9.0000
38,1657.753,up,40.0000,2.238724e-04,9.769121e-05,-137.9199,5.000000e-05,1.531212e-07,0.0571,4,1,-7.250731e-05,-6.546956e-05,6.905020e-05,40.0000,0,9.0000
39,1700.230,up,45.0000,2.232728e-04,1.014725e-04,-138.4101,5.000000e-05,3.652867e-07,0.0284,4,1,-7.589276e-05,-6.735692e-05,8.730540e-05,45.0000,0,9.0000
40,1742.707,up,50.0000,2.236811e-04,1.051275e-04,-138.9300,5.000000e-05,9.391956e-08,0.0633,4,1,-7.925642e-05,-6.906664e-05,1.292580e-04,50.0000,0,9.0000
