# Run=pixel_081 DC hysteresis follow-up
# theta_i_HWP_deg=345.395
# V_AC_Vpp=9.0
# ANL_peak_deg=174.475
# Q_null_deg=6.276
# A_null_deg=129.466
# EO_lockin_reference_phase_deg=121.071020572
# Rotation_reference_phase_deg=122.540348362
# DC_fringe_null_power_W=3.46367518797e-06
# DC_fringe_quadrature_power_W=0.000144403524812
# DC_fringe_bright_power_W=0.000285343374436
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[50, 40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-50.0,-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0,50.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# Lock_in_range_mode=predictive_hysteretic
# Lock_in_dynamic_range_indices=[11,12,13,14,15,16]
# Lock_in_dynamic_fullscales_uV=[5.0,10.0,20.0,50.0,100.0,200.0]
# Lock_in_dynamic_target_fraction=0.6
# Lock_in_dynamic_rescue_fraction=0.85
# Lock_in_range_changes=13
# Lock_in_range_rescue_rereads=1
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
0,43.811,sat,50.0000,1.444410e-04,7.128783e-06,119.0569,2.000000e-05,3.767895e-08,0.5155,4,1,-3.462297e-06,6.231537e-06,1.250000e-04,50.0000,0,4.0000,13.3163,50.0000,50.0000,13,predictive_hysteretic,6.066185e-06,1.000000e-07,6.466185e-06,13,initial_peak_scaled_prediction,1,0,1.000000e-07,0,0,33,33,0,0,0
1,87.996,down,40.0000,1.449289e-04,5.848192e-06,120.6816,2.000000e-05,2.203045e-07,1.1044,4,1,-2.984134e-06,5.029543e-06,1.008980e-04,39.9999,0,4.0000,13.2990,39.9999,40.0000,13,predictive_hysteretic,7.128783e-06,1.000000e-07,7.528783e-06,13,predictive_hold,0,0,1.773319e-07,0,0,33,33,0,0,0
2,132.247,down,30.0000,1.448786e-04,4.630839e-06,120.1098,2.000000e-05,5.638803e-08,0.5519,4,1,-2.323101e-06,4.005980e-06,7.957290e-05,30.0000,0,4.0000,13.3517,30.0000,30.0000,13,predictive_hysteretic,5.848192e-06,1.773319e-07,6.557520e-06,13,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
3,176.081,down,25.0000,1.453693e-04,3.732480e-06,121.3105,2.000000e-05,2.251220e-08,1.1044,4,1,-1.939677e-06,3.188896e-06,6.403530e-05,25.0000,0,4.0000,13.3491,25.0000,25.0000,13,predictive_hysteretic,4.022163e-06,1.773319e-07,4.731491e-06,12,narrow_pending_hysteresis,0,0,1.000000e-07,0,0,33,33,0,0,0
4,219.871,down,20.0000,1.446608e-04,3.074856e-06,121.0272,1.000000e-05,8.569616e-08,1.8176,4,1,-1.584917e-06,2.634915e-06,5.043400e-05,20.0000,0,4.0000,13.3060,20.0000,20.0000,12,predictive_hysteretic,2.834120e-06,1.773319e-07,3.543448e-06,12,confirmed_one_step_narrow,1,0,1.000000e-07,0,0,33,33,0,0,0
5,263.678,down,15.0000,1.445776e-04,2.556724e-06,120.5998,1.000000e-05,1.010397e-07,1.3391,4,1,-1.301471e-06,2.200684e-06,4.262800e-05,15.0000,0,4.0000,13.3084,15.0000,15.0000,12,predictive_hysteretic,2.417232e-06,1.773319e-07,3.126560e-06,12,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
6,307.462,down,12.5000,1.444790e-04,2.180714e-06,120.0980,1.000000e-05,1.146267e-07,3.6115,4,1,-1.093585e-06,1.886687e-06,4.027460e-05,12.5000,0,4.0000,13.3006,12.5000,12.5000,12,predictive_hysteretic,2.297659e-06,1.000000e-07,2.697659e-06,11,narrow_pending_hysteresis,0,0,1.382472e-07,0,0,33,33,0,0,0
7,351.286,down,10.0000,1.447489e-04,1.690485e-06,120.8768,5.000000e-06,4.897905e-08,1.8278,4,1,-8.675452e-07,1.450898e-06,3.769910e-05,10.0000,0,4.0000,13.3268,10.0000,10.0000,11,predictive_hysteretic,1.804704e-06,1.382472e-07,2.357693e-06,11,confirmed_one_step_narrow,1,0,1.000000e-07,0,0,33,33,0,0,0
8,395.131,down,7.5000,1.452681e-04,1.313984e-06,123.5769,5.000000e-06,1.844864e-08,5.9993,4,1,-7.267068e-07,1.094738e-06,3.525320e-05,7.5000,0,4.0000,13.3614,7.5000,7.5000,11,predictive_hysteretic,1.200256e-06,1.382472e-07,1.753244e-06,11,predictive_hold,0,0,1.183724e-07,0,0,33,33,0,0,0
9,438.920,down,5.0000,1.459858e-04,1.069796e-06,152.7329,5.000000e-06,6.086367e-08,1.6285,4,1,-9.509203e-07,4.901155e-07,3.105430e-05,5.0000,0,4.0000,13.3040,5.0000,5.0000,11,predictive_hysteretic,9.374828e-07,1.382472e-07,1.490472e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
