# Run=pixel_018 DC hysteresis follow-up
# theta_i_HWP_deg=7.895
# V_AC_Vpp=9.0
# ANL_peak_deg=211.271
# Q_null_deg=46.854
# A_null_deg=166.278
# EO_lockin_reference_phase_deg=6.47806790853
# Rotation_reference_phase_deg=6.66211508547
# DC_fringe_null_power_W=3.74088421053e-06
# DC_fringe_quadrature_power_W=0.000197895362406
# DC_fringe_bright_power_W=0.000392049840602
# DC_HYST_VMAX=40.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=16
# Lock_in_range_mode=fixed
# Lock_in_range_changes=0
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.03
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
0,44.935,sat,40.0000,2.018125e-04,3.590476e-05,6.4254,2.000000e-04,1.101331e-07,0.2411,4,1,3.567923e-05,4.018053e-06,2.717710e-03,39.9999,0,4.0000,14.4517,39.9999,40.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.582765e-07,0,0,33,33,0,0,0
1,89.169,down,30.0000,2.021592e-04,3.169996e-05,8.0898,2.000000e-04,1.143545e-07,0.1071,4,1,3.138451e-05,4.460959e-06,2.019540e-03,30.0000,0,4.0000,13.3363,30.0000,30.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.199816e-07,0,0,33,33,0,0,0
2,132.949,down,25.0000,2.017612e-04,2.882479e-05,8.3097,2.000000e-04,9.171037e-08,0.2507,4,1,2.852217e-05,4.165855e-06,1.690440e-03,24.9999,0,4.0000,13.2977,24.9999,25.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.181702e-07,0,0,33,33,0,0,0
3,176.758,down,20.0000,2.019473e-04,2.553490e-05,9.3702,2.000000e-04,6.405089e-08,0.1807,4,1,2.519419e-05,4.157407e-06,1.372040e-03,20.0000,0,4.0000,13.3133,20.0000,20.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
4,220.618,down,15.0000,2.017817e-04,2.184481e-05,10.1672,2.000000e-04,1.445366e-07,0.2753,4,1,2.150178e-05,3.856081e-06,1.060310e-03,15.0000,0,4.0000,13.3764,15.0000,15.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.471389e-07,0,0,33,33,0,0,0
5,264.402,down,12.5000,2.018254e-04,1.884472e-05,11.1930,2.000000e-04,4.119045e-08,0.3609,4,1,1.848627e-05,3.658046e-06,9.072950e-04,12.5000,0,4.0000,13.2993,12.5000,12.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.237602e-07,0,0,33,33,0,0,0
6,308.205,down,10.0000,2.019152e-04,1.542998e-05,11.3854,2.000000e-04,8.405701e-08,0.1169,4,1,1.512634e-05,3.046004e-06,7.547730e-04,10.0000,0,4.0000,13.3060,10.0000,10.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
7,352.054,down,7.5000,2.018703e-04,8.054898e-06,10.8042,2.000000e-04,9.577680e-08,0.3332,4,1,7.912113e-06,1.509917e-06,5.977700e-04,7.5000,0,4.0000,13.3646,7.5000,7.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
8,395.878,down,5.0000,2.019396e-04,5.687068e-06,3.6706,2.000000e-04,4.943906e-08,2.1268,4,1,5.675402e-06,3.640839e-07,4.053380e-04,5.0000,0,4.0000,13.3409,5.0000,5.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,2.101490e-07,0,0,33,33,0,0,0
9,439.713,down,2.5000,2.018183e-04,2.109455e-06,-32.1196,2.000000e-04,3.875866e-08,1.4946,4,1,1.786582e-06,-1.121573e-06,1.915440e-04,2.5000,0,4.0000,13.3393,2.5000,2.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
10,483.511,down,1.2500,2.023903e-04,1.671911e-06,-88.9914,2.000000e-04,1.681239e-07,3.8801,4,1,2.943041e-08,-1.671652e-06,9.168280e-05,1.2500,0,4.0000,13.3158,1.2500,1.2500,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.690549e-07,0,0,33,33,0,0,0
11,527.325,down,0.0000,2.020256e-04,1.824240e-06,-117.1887,2.000000e-04,9.930616e-08,1.8680,4,1,-8.335356e-07,-1.622673e-06,3.673700e-09,-0.0000,0,4.0000,13.3297,-0.0000,0.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
12,571.151,down,-1.2500,2.026702e-04,8.998540e-07,-48.6562,2.000000e-04,7.486760e-08,1.1832,4,1,5.944214e-07,-6.755741e-07,-9.036170e-05,-1.2500,0,4.0000,13.3289,-1.2500,-1.2500,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
13,614.931,down,-2.5000,2.037589e-04,2.293425e-06,2.2331,2.000000e-04,6.321133e-08,2.4659,4,1,2.291683e-06,8.936354e-08,-1.848180e-04,-2.5000,0,4.0000,13.2941,-2.5000,-2.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
14,658.756,down,-5.0000,2.037628e-04,4.044008e-06,18.8246,2.000000e-04,8.581280e-08,1.4796,4,1,3.827696e-06,1.304890e-06,-3.754890e-04,-5.0000,0,4.0000,13.3287,-5.0000,-5.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.206647e-07,0,0,33,33,0,0,0
