# Run=pixel_021 DC hysteresis follow-up
# theta_i_HWP_deg=19.145
# V_AC_Vpp=9.0
# ANL_peak_deg=140.953
# Q_null_deg=70.136
# A_null_deg=5.953
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_SPACING=5 V uniform
# DC_HYST_UNIFORM_STEP=5.0
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# AC_dither_Vpp=9.0
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp
0,43.563,sat,50.0000,2.056148e-04,3.408232e-05,68.0852,5.000000e-05,9.010745e-08,0.2148,4,1,1.272045e-05,3.161953e-05,4.500530e-05,50.0000,0,9.0000
1,86.024,down,45.0000,2.038270e-04,3.256620e-05,68.4202,5.000000e-05,8.390004e-08,0.1111,4,1,1.197774e-05,3.028352e-05,3.729280e-06,45.0000,0,9.0000
2,128.501,down,40.0000,2.058542e-04,3.036597e-05,68.9469,5.000000e-05,1.363891e-07,0.2821,4,1,1.090848e-05,2.833898e-05,4.468070e-07,40.0000,0,9.0000
3,170.974,down,35.0000,2.056629e-04,2.814618e-05,69.3474,5.000000e-05,8.772967e-08,0.1462,4,1,9.927192e-06,2.633740e-05,1.251640e-05,35.0000,0,9.0000
4,213.452,down,30.0000,2.052733e-04,2.606733e-05,69.7615,5.000000e-05,1.890200e-07,0.2387,4,1,9.017434e-06,2.445795e-05,9.754760e-06,30.0000,0,9.0000
5,255.933,down,25.0000,2.048740e-04,2.275470e-05,70.2757,5.000000e-05,1.294024e-07,0.3378,4,1,7.679588e-06,2.141963e-05,1.050430e-05,25.0000,0,9.0000
6,298.415,down,20.0000,2.055583e-04,1.969733e-05,70.7283,5.000000e-05,9.191731e-08,0.2745,4,1,6.501054e-06,1.859358e-05,-1.265390e-06,20.0000,0,9.0000
7,340.857,down,15.0000,2.051019e-04,1.566209e-05,71.5225,5.000000e-05,1.162542e-07,0.4782,4,1,4.963817e-06,1.485468e-05,2.473080e-05,15.0000,0,9.0000
8,383.317,down,10.0000,2.042474e-04,1.155076e-05,72.0373,5.000000e-05,1.003396e-07,0.6122,4,1,3.562229e-06,1.098775e-05,4.835590e-06,10.0000,0,9.0000
9,425.802,down,5.0000,2.056809e-04,7.900859e-06,72.9974,5.000000e-05,1.048748e-07,0.6621,4,1,2.310327e-06,7.555525e-06,1.835490e-05,5.0000,0,9.0000
10,468.279,down,0.0000,2.060879e-04,2.297938e-06,74.5898,5.000000e-05,8.942594e-08,1.7456,4,1,6.106242e-07,2.215323e-06,-2.276730e-07,0.0000,0,9.0000
11,510.767,down,-5.0000,2.041505e-04,2.780754e-06,-103.6849,5.000000e-05,6.579413e-08,1.2403,4,1,-6.578780e-07,-2.701812e-06,-7.082970e-05,-5.0000,0,9.0000
12,553.237,down,-10.0000,2.060372e-04,6.643622e-06,-106.3795,5.000000e-05,8.369273e-08,0.4088,4,1,-1.873495e-06,-6.373989e-06,-2.286590e-05,-10.0000,0,9.0000
13,595.693,down,-15.0000,2.056167e-04,1.067602e-05,-108.0605,5.000000e-05,1.320475e-07,0.4321,4,1,-3.309788e-06,-1.015001e-05,-5.183900e-05,-15.0000,0,9.0000
14,638.169,down,-20.0000,2.063492e-04,1.544865e-05,-109.0971,5.000000e-05,1.692508e-07,0.2404,4,1,-5.054339e-06,-1.459844e-05,-3.191340e-05,-20.0000,0,9.0000
