# Run=pixel_094 DC hysteresis follow-up
# theta_i_HWP_deg=41.645
# V_AC_Vpp=9.0
# ANL_peak_deg=95.761
# Q_null_deg=111.486
# A_null_deg=50.759
# EO_lockin_reference_phase_deg=-29.4666912952
# Rotation_reference_phase_deg=-35.3143953111
# DC_fringe_null_power_W=3.19560902256e-06
# DC_fringe_quadrature_power_W=0.000138793948872
# DC_fringe_bright_power_W=0.000274392288722
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[50, 40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-50.0,-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0,50.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# Lock_in_range_mode=predictive_hysteretic
# Lock_in_dynamic_range_indices=[11,12,13,14,15,16]
# Lock_in_dynamic_fullscales_uV=[5.0,10.0,20.0,50.0,100.0,200.0]
# Lock_in_dynamic_target_fraction=0.6
# Lock_in_dynamic_rescue_fraction=0.85
# Lock_in_range_changes=1
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
0,43.828,sat,50.0000,1.410395e-04,4.171493e-07,144.0722,5.000000e-06,4.227752e-08,9.7700,4,1,-3.377896e-07,2.447688e-07,2.339780e-04,50.0000,0,4.0000,13.3427,50.0000,50.0000,11,predictive_hysteretic,2.406677e-06,1.000000e-07,2.806677e-06,11,initial_peak_scaled_prediction,1,0,1.000000e-07,0,0,33,33,0,0,0
1,88.046,down,40.0000,1.408027e-04,2.013526e-07,148.7627,5.000000e-06,3.379675e-08,20.4017,4,1,-1.721619e-07,1.044181e-07,1.973350e-04,40.0000,0,4.0000,13.3339,40.0000,40.0000,11,predictive_hysteretic,4.171493e-07,1.000000e-07,8.171493e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
2,132.275,down,30.0000,1.406330e-04,1.965818e-08,-33.2783,5.000000e-06,1.229466e-07,224.5184,4,1,1.643454e-08,-1.078656e-08,1.678530e-04,29.9999,0,4.0000,13.3447,29.9999,30.0000,11,predictive_hysteretic,2.013526e-07,1.000000e-07,6.013526e-07,11,predictive_hold,0,0,1.035437e-07,0,0,33,33,0,0,0
3,176.104,down,25.0000,1.404204e-04,1.773848e-07,-7.7465,5.000000e-06,1.162592e-07,31.0985,4,1,1.757661e-07,-2.390973e-08,1.431130e-04,25.0000,0,4.0000,13.3468,25.0000,25.0000,11,predictive_hysteretic,0.000000e+00,1.035437e-07,4.141746e-07,11,predictive_hold,0,0,1.069304e-07,0,0,33,33,0,0,0
4,219.936,down,20.0000,1.401153e-04,1.328374e-07,5.1642,5.000000e-06,9.702804e-08,20.8447,4,1,1.322981e-07,1.195677e-08,1.265520e-04,20.0000,0,4.0000,13.3339,20.0000,20.0000,11,predictive_hysteretic,3.351115e-07,1.069304e-07,7.628330e-07,11,predictive_hold,0,0,1.006853e-07,0,0,33,33,0,0,0
5,263.791,down,15.0000,1.385921e-04,1.485140e-07,37.0870,5.000000e-06,1.510885e-07,24.2003,4,1,1.184727e-07,8.955807e-08,1.075500e-04,15.0000,0,4.0000,13.3730,15.0000,15.0000,11,predictive_hysteretic,8.828988e-08,1.069304e-07,5.160114e-07,11,predictive_hold,0,0,1.326529e-07,0,0,33,33,0,0,0
6,307.615,down,12.5000,1.384206e-04,5.896374e-08,-140.8635,5.000000e-06,8.170304e-08,67.4453,4,1,-4.573487e-08,-3.721618e-08,9.434650e-05,12.5000,0,4.0000,13.3396,12.5000,12.5000,11,predictive_hysteretic,1.563524e-07,1.326529e-07,6.869641e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
7,351.452,down,10.0000,1.384488e-04,1.067582e-07,-179.3714,5.000000e-06,9.449312e-08,37.2565,4,1,-1.067518e-07,-1.171251e-09,7.701000e-05,10.0000,0,4.0000,13.3388,10.0000,10.0000,11,predictive_hysteretic,0.000000e+00,1.326529e-07,5.306117e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
8,395.310,down,7.5000,1.384319e-04,1.732626e-07,-178.8239,5.000000e-06,5.557407e-08,35.7070,4,1,-1.732261e-07,-3.556334e-09,5.638370e-05,7.5000,0,4.0000,13.3736,7.5000,7.5000,11,predictive_hysteretic,1.545526e-07,1.326529e-07,6.851643e-07,11,predictive_hold,0,0,1.081884e-07,0,0,33,33,0,0,0
9,439.133,down,5.0000,1.379129e-04,1.922938e-07,157.0492,5.000000e-06,5.597439e-08,31.5948,4,1,-1.770718e-07,7.498318e-08,3.598870e-05,5.0000,0,4.0000,13.3385,5.0000,5.0000,11,predictive_hysteretic,2.397671e-07,1.326529e-07,7.703789e-07,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
