# Run=pixel_017 DC hysteresis follow-up
# theta_i_HWP_deg=52.895
# V_AC_Vpp=9.0
# ANL_peak_deg=123.549
# Q_null_deg=137.055
# A_null_deg=78.545
# EO_lockin_reference_phase_deg=-173.109326055
# Rotation_reference_phase_deg=-173.254735523
# DC_fringe_null_power_W=4.71450225564e-06
# DC_fringe_quadrature_power_W=0.000157731885714
# DC_fringe_bright_power_W=0.000310749269173
# DC_HYST_VMAX=40.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=16
# Lock_in_range_mode=fixed
# Lock_in_range_changes=0
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.03
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
0,43.803,sat,40.0000,1.575840e-04,2.479997e-05,-173.0825,2.000000e-04,9.797664e-08,0.1091,4,1,-2.461944e-05,-2.986899e-06,2.331120e-03,40.0000,0,4.0000,13.3202,40.0000,40.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
1,88.052,down,30.0000,1.569685e-04,2.141488e-05,-171.6304,2.000000e-04,8.999688e-08,0.2174,4,1,-2.118681e-05,-3.117116e-06,1.772840e-03,29.9999,0,4.0000,13.3645,29.9999,30.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
2,131.885,down,25.0000,1.578320e-04,1.953996e-05,-171.0679,2.000000e-04,8.482646e-08,0.1310,4,1,-1.930300e-05,-3.033863e-06,1.497480e-03,24.9999,0,4.0000,13.3452,24.9999,25.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
3,175.707,down,20.0000,1.578366e-04,1.737473e-05,-170.4321,2.000000e-04,7.708426e-08,0.3703,4,1,-1.713303e-05,-2.887966e-06,1.224050e-03,20.0000,0,4.0000,13.3275,20.0000,20.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.156289e-07,0,0,33,33,0,0,0
4,219.571,down,15.0000,1.573198e-04,1.463997e-05,-169.7307,2.000000e-04,1.071033e-07,0.1435,4,1,-1.440544e-05,-2.609946e-06,9.529960e-04,15.0000,0,4.0000,13.3804,15.0000,15.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.110402e-07,0,0,33,33,0,0,0
5,263.372,down,12.5000,1.569687e-04,1.306974e-05,-169.2400,2.000000e-04,1.983073e-08,0.4187,4,1,-1.283995e-05,-2.440053e-06,8.159480e-04,12.5000,0,4.0000,13.3165,12.5000,12.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
6,307.193,down,10.0000,1.568819e-04,1.107475e-05,-169.6340,2.000000e-04,1.236805e-07,0.4478,4,1,-1.089399e-05,-1.992734e-06,6.755070e-04,10.0000,0,4.0000,13.3242,10.0000,10.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.185584e-07,0,0,33,33,0,0,0
7,351.036,down,7.5000,1.578300e-04,9.519618e-06,-166.5610,2.000000e-04,6.345108e-08,0.5918,4,1,-9.258950e-06,-2.212459e-06,5.256140e-04,7.5000,0,4.0000,13.3594,7.5000,7.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.040716e-07,0,0,33,33,0,0,0
8,394.859,down,5.0000,1.572684e-04,5.959884e-06,-163.1755,2.000000e-04,1.142697e-07,0.4132,4,1,-5.704776e-06,-1.725035e-06,3.556830e-04,5.0000,0,4.0000,13.3401,5.0000,5.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.110751e-07,0,0,33,33,0,0,0
9,438.717,down,2.5000,1.562233e-04,3.434369e-06,-163.9174,2.000000e-04,4.101362e-08,1.2699,4,1,-3.299960e-06,-9.513971e-07,1.710110e-04,2.5000,0,4.0000,13.3626,2.5000,2.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
10,482.564,down,1.2500,1.559575e-04,1.919580e-06,-166.4138,2.000000e-04,9.527457e-08,1.3804,4,1,-1.865866e-06,-4.509240e-07,8.392710e-05,1.2500,0,4.0000,13.3626,1.2500,1.2500,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
11,526.392,down,0.0000,1.559858e-04,7.268873e-07,-169.4237,2.000000e-04,1.054990e-07,5.9596,4,1,-7.145384e-07,-1.334167e-07,1.181400e-08,0.0000,0,4.0000,13.3432,0.0000,0.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
