# Run=pixel_032 DC hysteresis follow-up
# theta_i_HWP_deg=7.895
# V_AC_Vpp=9.0
# ANL_peak_deg=303.360
# Q_null_deg=48.771
# A_null_deg=168.360
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_SPACING=5 V uniform
# DC_HYST_UNIFORM_STEP=5.0
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=5.0
# Lock_in_avg_readings=5
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=15
# AC_dither_Vpp=9.0
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp
0,46.980,sat,50.0000,1.617104e-04,4.132597e-05,-174.2339,1.000000e-04,2.013081e-07,0.0828,5,1,-4.111687e-05,-4.151938e-06,7.408460e-06,50.0000,0,9.0000
1,93.949,down,45.0000,1.617091e-04,3.916793e-05,-173.6719,1.000000e-04,2.182316e-07,0.1243,5,1,-3.892928e-05,-4.317150e-06,2.411850e-05,45.0000,0,9.0000
2,140.905,down,40.0000,1.607832e-04,3.660797e-05,-173.0301,1.000000e-04,1.561069e-07,0.0819,5,1,-3.633744e-05,-4.442325e-06,3.741090e-06,40.0000,0,9.0000
3,187.866,down,35.0000,1.595933e-04,3.327584e-05,-172.2497,1.000000e-04,1.185671e-07,0.2016,5,1,-3.297187e-05,-4.487455e-06,6.798280e-06,35.0000,0,9.0000
4,234.824,down,30.0000,1.596947e-04,2.959991e-05,-171.5205,1.000000e-04,2.141107e-07,0.1603,5,1,-2.927634e-05,-4.364692e-06,8.331600e-06,30.0000,0,9.0000
5,281.797,down,25.0000,1.580742e-04,2.586184e-05,-170.6367,1.000000e-04,2.360676e-07,0.2247,5,1,-2.551727e-05,-4.207564e-06,1.118510e-05,25.0000,0,9.0000
6,328.769,down,20.0000,1.585780e-04,2.191580e-05,-169.1315,1.000000e-04,1.843938e-07,0.2703,5,1,-2.152269e-05,-4.132359e-06,3.816580e-05,20.0000,0,9.0000
7,375.773,down,15.0000,1.577049e-04,1.980581e-05,-164.9073,1.000000e-04,1.310546e-07,0.2805,5,1,-1.912262e-05,-5.157068e-06,3.773600e-05,15.0000,0,9.0000
8,422.746,down,10.0000,1.574569e-04,1.953773e-05,-161.4458,1.000000e-04,8.127557e-08,0.3378,5,1,-1.852222e-05,-6.216937e-06,-5.111200e-06,10.0000,0,9.0000
9,469.720,down,5.0000,1.574859e-04,1.109186e-05,-161.5292,1.000000e-04,1.500099e-07,0.3236,5,1,-1.052046e-05,-3.514145e-06,1.622890e-05,5.0000,0,9.0000
